| event_message                                    | event_type | execution_id                         | function_id                          | id                                   | level | timestamp        |
| shutdown                                         | Shutdown   | 21f40818-58cb-43a8-a28e-cf94489da911 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 752744ad-93a3-4f9b-ad0d-f72e8f703902 | log   | 1790253432775000 |
| shutdown                                         | Shutdown   | 4ad99f55-c7ed-450e-b115-d449b8b1c4f2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 058a85c3-b4c2-440c-9e7a-b5a117cb4b82 | log   | 1790253432754000 |
| --> POST /server/send-order-email 404 2ms<br>    | Log        | c502ee2f-535a-4886-aa65-8aed742c881b | 4c128a94-86f9-4314-b244-1d36b62ad632 | 0a0ca27e-5aeb-48f6-9c2a-99e2ad1e634e | info  | 1790253360190000 |
| <-- POST /server/send-order-email<br>            | Log        | c502ee2f-535a-4886-aa65-8aed742c881b | 4c128a94-86f9-4314-b244-1d36b62ad632 | ed42db66-5cbd-4884-af4e-1b844b2eac4f | info  | 1790253360188000 |
| booted (time: 36ms)                              | Boot       | c502ee2f-535a-4886-aa65-8aed742c881b | 4c128a94-86f9-4314-b244-1d36b62ad632 | 96995687-1a2a-4423-85fd-e6a97f20f777 | log   | 1790253360181000 |
| --> POST /server/send-order-email 404 2ms<br>    | Log        | 80cd83b7-ccd8-4477-9163-9338e449f6ad | 4c128a94-86f9-4314-b244-1d36b62ad632 | 17ac6f4a-cfd7-424f-88e2-e5dc6f7aa144 | info  | 1790253360009000 |
| <-- POST /server/send-order-email<br>            | Log        | 80cd83b7-ccd8-4477-9163-9338e449f6ad | 4c128a94-86f9-4314-b244-1d36b62ad632 | d73c28dc-72ac-4ea4-8783-cfe1f299e928 | info  | 1790253360007000 |
| booted (time: 33ms)                              | Boot       | 80cd83b7-ccd8-4477-9163-9338e449f6ad | 4c128a94-86f9-4314-b244-1d36b62ad632 | d54e66f4-0639-45ab-b33b-203549a408a2 | log   | 1790253360001000 |
| --> OPTIONS /server/send-order-email 204 1ms<br> | Log        | 21f40818-58cb-43a8-a28e-cf94489da911 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 40cd70c4-7aea-4dde-9d33-875d3bedcc0a | info  | 1790253357770000 |
| <-- OPTIONS /server/send-order-email<br>         | Log        | 21f40818-58cb-43a8-a28e-cf94489da911 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 158f7eb9-ef57-4249-8acc-f30b6a309133 | info  | 1790253357768000 |
| booted (time: 24ms)                              | Boot       | 21f40818-58cb-43a8-a28e-cf94489da911 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 22b2709e-4877-4a17-93ac-ab3ae16a2fdc | log   | 1790253357763000 |
| --> OPTIONS /server/send-order-email 204 1ms<br> | Log        | 4ad99f55-c7ed-450e-b115-d449b8b1c4f2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | e3878808-a53c-4ac6-a63e-b9f0963000da | info  | 1790253357748000 |
| <-- OPTIONS /server/send-order-email<br>         | Log        | 4ad99f55-c7ed-450e-b115-d449b8b1c4f2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | b9145316-0d54-4b0c-a439-6ed59ba34a15 | info  | 1790253357747000 |
| booted (time: 33ms)                              | Boot       | 4ad99f55-c7ed-450e-b115-d449b8b1c4f2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 65402dad-0c24-45a9-a6ba-43f11add39ea | log   | 1790253357741000 |
| shutdown                                         | Shutdown   | 148d68e5-df82-4597-949f-714b88713cee | 4c128a94-86f9-4314-b244-1d36b62ad632 | a8335ea1-256e-4239-9a2d-8761cd588dd3 | log   | 1790251731959000 |
| shutdown                                         | Shutdown   | 5df5f41f-39fa-4c05-b4d6-a9ddf94782a5 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 602d5ebb-c815-4535-ba47-c320bdce49cc | log   | 1790251730029000 |
| shutdown                                         | Shutdown   | e4c3ece9-6826-48d5-a00e-e38084519de8 | 4c128a94-86f9-4314-b244-1d36b62ad632 | d605c2d0-26d1-4ab3-b27f-c75692e4777e | log   | 1790251729909000 |
